"","group2","*temp+temp<sup>2</sup>+bp(oxy)*","*temp+temp<sup>2</sup>+oxy*","*temp×oxy*","*bp(φ)*","*temp+oxy*","*φ*"
"1","Cod Adult","**0**","165.1","200","273","650.5","762.1"
"2","Cod Juvenile","**0**","51.9","71.4","354.8","382","620.5"
"3","Flounder Adult","**0**","316.1","175.1","2135.7","1024","2289.6"
"4","Flounder Juvenile","**0**","121.4","174.6","366.2","257.4","586.2"
"5","Plaice Adult","**0**","31.4","53.1","242.5","117.2","257.3"
"6","Plaice Juvenile","**0**","15.6","13","128.2","82","243.2"
