year,lat,lon,quarter,country,month,haul_id,ices_rect,sub_div,month_year,oxy,temp,sal,depth,x,y,cod_adult,cod_juvenile,dab_adult,dab_juvenile,plaice_adult,plaice_juvenile,flounder_adult,flounder_juvenile,depth_obs
1993,56.6,20.3333,1,DEN,3,1993:1:DEN:DAN2:GRT:105:45,42H0,28,3_1993,7.270607712850952,3.76327919960022,7.837229251861572,89.69999694824219,827.2680468667787,6285.592135910718,0,0,0,0,0,0,NA,NA,94
1993,56.5667,20.1667,1,DEN,3,1993:1:DEN:DAN2:GRT:106:46,42H0,28,3_1993,1.3923552561618804,4.819538116455078,9.10048770904541,119.0999984741211,817.335395263826,6281.1081525441405,0,0,0,0,0,0,NA,NA,126
1993,56.5167,20.2167,1,DEN,3,1993:1:DEN:DAN2:GRT:107:47,42H0,28,3_1993,5.593568388528442,4.128117561340332,8.151211738586426,91.529998779296875,820.8262597638683,6275.784481442633,0,0,0,0,0,0,NA,NA,93
1993,56.4,20.2167,1,DEN,3,1993:1:DEN:DAN2:GRT:108:48,41H0,26,3_1993,8.619596572775269,3.3827064037323,7.517518043518066,68.19999694824219,821.8131279407903,6262.816157386101,0,0,0,0,0,0,NA,NA,71
1993,56.3833,20.15,1,DEN,3,1993:1:DEN:DAN2:GRT:109:49,41H0,26,3_1993,8.563039187457274,3.406670331954956,7.548377990722656,71.779998779296875,817.8421188127019,6260.649724113594,0,0,0,0,0,0,NA,NA,71
1993,56.35,20.05,1,DEN,3,1993:1:DEN:DAN2:GRT:110:50,41H0,26,3_1993,8.507059204193114,3.4301977157592773,7.548476696014404,68.3499984741211,811.948994332677,6256.490656992384,0,0,0,0,0,0,NA,NA,75
1993,56.1167,19.9333,1,DEN,3,1993:1:DEN:DAN2:GRT:112:51,41G9,26,3_1993,8.681283611605835,3.419564723968506,7.527304172515869,61,806.6077768270762,6230.0372830887345,0,0,0,0,0,0,NA,NA,65
1993,56.1167,19.85,1,DEN,3,1993:1:DEN:DAN2:GRT:113:52,41G9,26,3_1993,8.738218870693968,3.393126964569092,7.486228942871094,58.29999923706055,801.4353677633679,6229.669785701267,0,0,0,0,0,0,NA,NA,61
1993,56.1833,19.9,1,DEN,3,1993:1:DEN:DAN2:GRT:114:53,41G9,26,3_1993,8.68434965067749,3.3821401596069336,7.5063910484313965,60.25,804.0130492970235,6237.29188423651,0,0,0,0,0,0,NA,NA,57
1993,56.1167,19.5,1,DEN,3,1993:1:DEN:DAN2:GRT:115:54,41G9,26,3_1993,8.597564413696288,3.452547788619995,7.48352575302124,71.55000305175781,779.6999505821261,6228.1941996746755,0,0,0,0,0,0,NA,NA,70
1993,56.1667,19.5833,1,DEN,3,1993:1:DEN:DAN2:GRT:116:55,41G9,26,3_1993,8.645259873291016,3.4108083248138428,7.471641540527344,64.8499984741211,784.503338163177,6234.0935784548,0,0,0,0,0,0,NA,NA,72
1993,56.2167,19.5,1,DEN,3,1993:1:DEN:DAN2:GRT:117:56,41G9,26,3_1993,6.344623597564697,4.1400346755981445,8.04996109008789,96.4000015258789,778.9731828663081,6239.311157708098,0,0,0,0,0,0,NA,NA,109
